i_group	code	code_contained	status	_grouping
0	015	DZ		false
0	015	EG		false
0	015	EH		false
0	015	LY		false
0	015	MA		false
0	015	SD		false
0	015	TN		false
0	015	EA		false
0	015	IC		false
1	419	013		true
1	419	029		true
1	419	005		true
2	011	BF		false
2	011	BJ		false
2	011	CI		false
2	011	CV		false
2	011	GH		false
2	011	GM		false
2	011	GN		false
2	011	GW		false
2	011	LR		false
2	011	ML		false
2	011	MR		false
2	011	NE		false
2	011	NG		false
2	011	SH		false
2	011	SL		false
2	011	SN		false
2	011	TG		false
3	019	021		false
3	019	013		false
3	019	029		false
3	019	005		false
4	154	GG		false
4	154	IM		false
4	154	JE		false
4	154	AX		false
4	154	DK		false
4	154	EE		false
4	154	FI		false
4	154	FO		false
4	154	GB		false
4	154	IE		false
4	154	IS		false
4	154	LT		false
4	154	LV		false
4	154	NO		false
4	154	SE		false
4	154	SJ		false
5	009	053		false
5	009	054		false
5	009	057		false
5	009	061		false
5	009	QO		false
6	EU	AT		true
6	EU	BE		true
6	EU	CY		true
6	EU	CZ		true
6	EU	DE		true
6	EU	DK		true
6	EU	EE		true
6	EU	ES		true
6	EU	FI		true
6	EU	FR		true
6	EU	GB		true
6	EU	GR		true
6	EU	HR		true
6	EU	HU		true
6	EU	IE		true
6	EU	IT		true
6	EU	LT		true
6	EU	LU		true
6	EU	LV		true
6	EU	MT		true
6	EU	NL		true
6	EU	PL		true
6	EU	PT		true
6	EU	SE		true
6	EU	SI		true
6	EU	SK		true
6	EU	BG		true
6	EU	RO		true
7	017	ZR	status-deprecated	false
8	035	BU	status-deprecated	false
8	035	TP	status-deprecated	false
9	QO	AQ		false
9	QO	BV		false
9	QO	CC		false
9	QO	CX		false
9	QO	GS		false
9	QO	HM		false
9	QO	IO		false
9	QO	TF		false
9	QO	UM		false
9	QO	AC		false
9	QO	CP		false
9	QO	DG		false
9	QO	TA		false
10	018	BW		false
10	018	LS		false
10	018	NA		false
10	018	SZ		false
10	018	ZA		false
11	143	TM		false
11	143	TJ		false
11	143	KG		false
11	143	KZ		false
11	143	UZ		false
12	021	BM		false
12	021	CA		false
12	021	GL		false
12	021	PM		false
12	021	US		false
13	034	AF		false
13	034	BD		false
13	034	BT		false
13	034	IN		false
13	034	IR		false
13	034	LK		false
13	034	MV		false
13	034	NP		false
13	034	PK		false
14	002	015		false
14	002	011		false
14	002	017		false
14	002	014		false
14	002	018		false
15	151	BG		false
15	151	BY		false
15	151	CZ		false
15	151	HU		false
15	151	MD		false
15	151	PL		false
15	151	RO		false
15	151	RU		false
15	151	SK		false
15	151	UA		false
16	035	BN		false
16	035	ID		false
16	035	KH		false
16	035	LA		false
16	035	MM		false
16	035	MY		false
16	035	PH		false
16	035	SG		false
16	035	TH		false
16	035	TL		false
16	035	VN		false
17	029	AG		false
17	029	AI		false
17	029	AW		false
17	029	BB		false
17	029	BL		false
17	029	BQ		false
17	029	BS		false
17	029	CU		false
17	029	CW		false
17	029	DM		false
17	029	DO		false
17	029	GD		false
17	029	GP		false
17	029	HT		false
17	029	JM		false
17	029	KN		false
17	029	KY		false
17	029	LC		false
17	029	MF		false
17	029	MQ		false
17	029	MS		false
17	029	PR		false
17	029	SX		false
17	029	TC		false
17	029	TT		false
17	029	VC		false
17	029	VG		false
17	029	VI		false
18	142	145		false
18	142	143		false
18	142	030		false
18	142	034		false
18	142	035		false
19	019	003	status-grouping	false
19	019	419	status-grouping	false
20	013	BZ		false
20	013	CR		false
20	013	GT		false
20	013	HN		false
20	013	MX		false
20	013	NI		false
20	013	PA		false
20	013	SV		false
21	001	019		false
21	001	002		false
21	001	150		false
21	001	142		false
21	001	009		false
22	039	CS	status-deprecated	false
22	039	YU	status-deprecated	false
23	029	AN	status-deprecated	false
24	003	021		true
24	003	013		true
24	003	029		true
25	155	AT		false
25	155	BE		false
25	155	CH		false
25	155	DE		false
25	155	FR		false
25	155	LI		false
25	155	LU		false
25	155	MC		false
25	155	NL		false
26	057	FM		false
26	057	GU		false
26	057	KI		false
26	057	MH		false
26	057	MP		false
26	057	NR		false
26	057	PW		false
27	001	EU	status-grouping	false
28	017	AO		false
28	017	CD		false
28	017	CF		false
28	017	CG		false
28	017	CM		false
28	017	GA		false
28	017	GQ		false
28	017	ST		false
28	017	TD		false
29	145	AE		false
29	145	AM		false
29	145	AZ		false
29	145	BH		false
29	145	CY		false
29	145	GE		false
29	145	IL		false
29	145	IQ		false
29	145	JO		false
29	145	KW		false
29	145	LB		false
29	145	OM		false
29	145	PS		false
29	145	QA		false
29	145	SA		false
29	145	SY		false
29	145	TR		false
29	145	YE		false
30	053	AU		false
30	053	NF		false
30	053	NZ		false
31	151	SU	status-deprecated	false
32	005	AR		false
32	005	BO		false
32	005	BR		false
32	005	CL		false
32	005	CO		false
32	005	EC		false
32	005	FK		false
32	005	GF		false
32	005	GY		false
32	005	PE		false
32	005	PY		false
32	005	SR		false
32	005	UY		false
32	005	VE		false
33	054	FJ		false
33	054	NC		false
33	054	PG		false
33	054	SB		false
33	054	VU		false
34	030	CN		false
34	030	HK		false
34	030	JP		false
34	030	KP		false
34	030	KR		false
34	030	MN		false
34	030	MO		false
34	030	TW		false
35	145	NT	status-deprecated	false
35	145	YD	status-deprecated	false
36	150	154		false
36	150	155		false
36	150	151		false
36	150	039		false
37	039	AD		false
37	039	AL		false
37	039	BA		false
37	039	ES		false
37	039	GI		false
37	039	GR		false
37	039	HR		false
37	039	IT		false
37	039	ME		false
37	039	MK		false
37	039	MT		false
37	039	RS		false
37	039	PT		false
37	039	SI		false
37	039	SM		false
37	039	VA		false
37	039	XK		false
38	155	DD	status-deprecated	false
38	155	FX	status-deprecated	false
39	014	BI		false
39	014	DJ		false
39	014	ER		false
39	014	ET		false
39	014	KE		false
39	014	KM		false
39	014	MG		false
39	014	MU		false
39	014	MW		false
39	014	MZ		false
39	014	RE		false
39	014	RW		false
39	014	SC		false
39	014	SO		false
39	014	SS		false
39	014	TZ		false
39	014	UG		false
39	014	YT		false
39	014	ZM		false
39	014	ZW		false
40	001	QU	status-deprecated	false
41	061	AS		false
41	061	CK		false
41	061	NU		false
41	061	PF		false
41	061	PN		false
41	061	TK		false
41	061	TO		false
41	061	TV		false
41	061	WF		false
41	061	WS		false
